SNO,OPERATION,APPLICATION,DATE
1,Erased,maven-3.0.5-17.amzn2.noarch,03292019
2,Erased,aether-connector-wagon-1.13.1-13.amzn2.noarch,03292019
3,Erased,maven-wagon-2.4-3.amzn2.noarch,03292019
4,Erased,sisu-inject-plexus-2.3.0-11.amzn2.noarch,03292019
5,Erased,plexus-containers-container-default-1.5.5-14.amzn2.noarch,03292019
6,Erased,sisu-inject-bean-2.3.0-11.amzn2.noarch,03292019
7,Erased,google-guice-3.1.3-9.amzn2.noarch,03292019
8,Erased,cdi-api-1.0-11.SP4.amzn2.noarch,03292019
9,Erased,xbean-3.13-6.amzn2.noarch,03292019
10,Erased,slf4j-1.7.4-4.amzn2.noarch,03292019
11,Erased,httpcomponents-client-4.2.5-5.amzn2.noarch,03292019
12,Erased,plexus-interactivity-1.0-0.14.alpha6.amzn2.noarch,03292019
13,Erased,aether-impl-1.13.1-13.amzn2.noarch,03292019
14,Erased,jboss-ejb-3.1-api-1.0.2-10.amzn2.noarch,03292019
15,Erased,junit-4.11-8.1.amzn2.0.1.noarch,03292019
16,Erased,hamcrest-1.3-6.1.amzn2.noarch,03292019
17,Erased,qdox-1.12.1-10.amzn2.noarch,03292019
18,Erased,1:jakarta-commons-httpclient-3.1-16.amzn2.noarch,03292019
19,Erased,avalon-framework-4.3-10.1.amzn2.noarch,03292019
20,Erased,apache-commons-logging-1.1.2-7.amzn2.noarch,03292019
21,Erased,avalon-logkit-2.1-14.1.amzn2.noarch,03292019
22,Erased,log4j-1.2.17-16.amzn2.noarch,03292019
23,Erased,nekohtml-1.9.14-13.amzn2.noarch,03292019
24,Erased,xalan-j2-2.7.1-23.1.amzn2.noarch,03292019
25,Erased,xerces-j2-2.11.0-17.amzn2.noarch,03292019
26,Erased,plexus-sec-dispatcher-1.4-13.amzn2.noarch,03292019
27,Erased,jboss-jaxrpc-1.1-api-1.0.1-7.amzn2.noarch,03292019
28,Erased,aether-spi-1.13.1-13.amzn2.noarch,03292019
29,Erased,aether-util-1.13.1-13.amzn2.noarch,03292019
30,Erased,plexus-component-api-1.0-0.16.alpha15.amzn2.noarch,03292019
